Violet,Blue,Green,Yellow,Red,595xDM605xF600,White,x_axis
5.12679836025608,9.70290101266334,0,0,0,0,0.02669,409
3.90123469112242,10.9593794439738,0,0,0,0,0.019609,409.5
3.8032708951469,11.9707306964642,0,0,0,0,0.021303,410
3.79092667673272,13.5942962063479,0,0,0,0,0.015516,410.5
4.0150660381027,15.3347934841891,0,0,0,0,0.022302,411
3.87397204999908,17.0705297175683,0,0,0,0,0.028536,411.5
2.73334258753648,19.3536596146467,0,0,0,0,0.02666,412
2.24588262818884,21.781811379715,0,0,0,0,0.019752,412.5
2.89054011439613,24.0489377388587,0,0,0,0,0.024541,413
2.13266801022758,26.6415836845966,0,0,0,0,0.023391,413.5
1.71859725402773,29.0557605912625,0,0,0,0,0.022211,414
1.75758094998963,31.7260244047224,0,0,0,0,0.018625,414.5
2.27231450457002,33.7758659882631,0,0,0,0,0.018958,415
1.1429583317478,35.2671429145064,0,0,0,0,0.018368,415.5
3.2541778840891,36.9458793980749,0,0,0,0,0.017339,416
2.70817672185646,37.9802052780893,0,0,0,0,0.017974,416.5
2.17425373672414,38.5004397834647,0,0,0,0,0.018216,417
0.766517789368227,39.6328909398322,0,0,0,0,0.017573,417.5
1.74145276643806,39.3479882778677,0,0,0,0,0.023119,418
1.37827887353983,39.2534795368505,0,0,0,0,0.02433,418.5
0.422604443388069,37.7401016792084,0,0,0,0,0.029686,419
2.10885909923875,36.6143352272499,0,0,0,0,0.02262,419.5
0.985784850566296,33.4009757036588,0,0,0,0,0.031653,420
1.25042175784012,31.7251315428263,0,0,0,0,0.020986,420.5
1.26932837261481,29.0823891258079,0,0,0,0,0.01951,421
-0.0495300983653386,25.5676850202935,0,0,0,0,0.022272,421.5
-0.150456839472696,23.0458977253885,0,0,0,0,0.024193,422
0.526545977170214,20.4646009779241,0,0,0,0,0.024814,422.5
0.268736864349506,17.5771975254374,0,0,0,0,0.01634,423
0.931356822553445,15.4604504066385,0,0,0,0,0.018146,423.5
-0.196409788461629,13.4933088557318,0,0,0,0,0.073113,424
0.624230471496972,12.1335917846651,0,0,0,0,0.048651,424.5
0.212691286564976,10.7397586189426,0,0,0,0,0.016249,425
-0.169120721527326,9.52034267379584,0,0,0,0,0.022575,425.5
0.673661040353827,8.5222896304155,0,0,0,0,0.03011,426
1.41953725959749,7.82427426526238,0,0,0,0,0.032228,426.5
0.38737986283852,6.80379170818994,0,0,0,0,0.030435,427
-0.520409281184254,6.09162554823659,0,0,0,0,0.027371,427.5
0.751456508794378,6.09474157695487,0,0,0,0,0.027416,428
0.208052598459535,5.18685953553232,0,0,0,0,0.02498,428.5
-0.0555538730023644,4.72011612298547,0,0,0,0,0.029242,429
-0.0170148606902551,4.46939933917572,0,0,0,0,0.036253,429.5
1.0050961713009,3.70947525382615,0,0,0,0,0.038523,430
0.525272297897284,3.22450766194433,0,0,0,0,0.038999,430.5
-0.595842580847687,2.99420309503212,0,0,0,0,0.036283,431
0.3656116586526,2.54372621556247,0,0,0,0,0.037448,431.5
-0.755276094405987,1.81927904345684,0,0,0,0,0.039711,432
-0.5066870301883,1.74113539966936,0,0,0,0,0.041973,432.5
-0.141427251643947,1.39636180027009,0,0,0,0,0.043501,433
0.417585539405025,1.12090953122957,0,0,0,0,0.040066,433.5
-0.335568575140521,0.680504501155806,0,0,0,0,0.052898,434
0.451119431226728,0.796741369952189,0,0,0,0,0.071701,434.5
-0.129184246121696,0.417086405405882,0,0,0,0,0.103527,435
0.842124770180548,0.622577711704985,0,0,0,0,0.106382,435.5
-0.543147725318416,0.420692318819417,0,0,0,0,0.1015,436
-0.592558682178127,0.0800510809890923,0,0,0,0,0.127072,436.5
-0.565105193545553,0.138282577172155,0,0,0,0,0.142385,437
0.457721427311991,0.00255954699854088,0,0,0,0,0.135401,437.5
-0.0488694975499317,0.307577922155275,0,0,0,0,0.125732,438
-0.232484967033561,0.345939162000891,0,0,0,0,0.10731,438.5
0.300588086875925,0.156097942145126,0,0,0,0,0.088093,439
0.125807077073731,0.13126506490888,0,0,0,0,0.071313,439.5
0.328744149570548,-0.0198832689903662,0,0,0,0,0.055995,440
0.139569688866114,0.237100585297031,0,0,0,0,0.054592,440.5
-0.840940699254574,0.0836739116498837,0,0,0,0,0.04283,441
0.511329220223317,0.131729624068797,0,0,0,0,0.041178,441.5
-0.450229044589396,0.0329430897862574,0,0,0,0,0.036858,442
0.777037247107343,0.119949886635756,0,0,0,0,0.035375,442.5
-0.0619681120631379,0.361256793548372,0,0,0,0,0.031699,443
-0.261910001940015,0.118746327447386,0.00548492073803203,0,0,0,0.031835,443.5
-0.830072421202853,-0.0595034471699828,0.0413642996973782,0,0,0,0.023987,444
-0.64397161224658,0.206630781200471,0.106809863427514,0,0,0,0.028112,444.5
0.143699678044457,0.116603774322065,-0.0155605247148482,0,0,0,0.031754,445
0.352555494721389,0.127939463492395,0.0239842278049993,0,0,0,0.03558,445.5
-0.103736417583547,-0.030562318039553,0.00758355769945693,0,0,0,0.036526,446
-0.390305154214175,0.257327723069238,0.0449817032724864,0,0,0,0.038417,446.5
0.79195102249601,-0.0172734850165663,0.0915438679458987,0,0,0,0.03533,447
0.104713053525989,-0.0339763442127441,0.0320965450172854,0,0,0,0.036692,447.5
0.434772822269067,0.0147152089242923,-0.00680837484171722,0,0,0,0.043894,448
-0.724741398677509,0.423719818844293,0.0749905176554661,0,0,0,0.038099,448.5
-0.305835064702462,0.116664952504252,0.0242793645237,0,0,0,0.038349,449
-0.490873449463297,-0.234908689536847,0.0182338138395397,0,0,0,0.045746,449.5
-0.177816116978359,0.108604321848276,0.0204667221927921,0,0,0,0.04164,450
0.308054818265484,0.198722355925112,0.0133084494374293,0,0,0,0.043536,450.5
